campaign_row_id,campaign_name,result_type,results,impressions,reach,amount_spent_ngn,cost_per_result_ngn
1,Bunda Youtube – official,Link clicks,480589.0,2102655.0,1263819.0,294600.87,0.61299961
2,Bunda Youtube,Link clicks,85175.0,510614.0,355788.0,97312.77,1.1425039
10,Instagram post: 🌍💃 Join the #BundaDanceChallenge...,Link clicks,154.0,30574.0,25784.0,17659.03,114.66902597
24,Instagram post: #TGIF 🕺🏾💃🪩#BundaDanceChallenge...,Link clicks,63.0,4416.0,3777.0,7729.84,122.69587302
27,Instagram post: Bunda Baddie 🍑🔥💥 @ceebee__...,Link clicks,1500.0,22505.0,19632.0,5999.84,3.99989333
28,"Post: ""🚀🎶 It's here! The official 'Bunda' music video...""",ThruPlay,17477.0,168004.0,156320.0,5912.96,0.33832809
69,"Instagram post: Ibadan, here we come ✈️🛩🛬

#bunda...",Link clicks,34.0,4390.0,3678.0,3070.0,90.29411765
70,Instagram post: Bunda Baddie 🥰🤩🔥@ceebee__...,Link clicks,562.0,11883.0,10615.0,3062.0,5.44839858
71,"Post: ""🎥 Exciting news! The official video for ""Bunda""...""",ThruPlay,7963.0,94166.0,91594.0,3000.0,0.37674243
74,"Post: ""In case you don't know what a Bunda is. Watch...""",ThruPlay,3904.0,13864.0,12772.0,2600.0,0.66598361
78,Instagram post: Kids love Bunda by Santeri X Vkel...,Link clicks,187.0,57793.0,55492.0,2435.78,13.0255615
79,Instagram post: @dwpacademy on the Bunda Dance...,Link clicks,114.0,37881.0,37026.0,2432.89,21.34114035
84,"Instagram post: @afronitaaa ❤️😍
Bunda is still...",Link clicks,160.0,7113.0,6556.0,1598.0,9.9875
104,Instagram post: The bunda dance challenge is...,Link clicks,27.0,759.0,730.0,989.65,36.6537037
106,"Instagram post: Wow, I’m speechless! 🙌  Bunda has...",Link clicks,153.0,11669.0,11444.0,797.25,5.21078431
108,"Instagram post: @aja_is_saxy 🥰😍🤩
Bunda is still...",Link clicks,73.0,6861.0,6830.0,754.33,10.33328767
121,Instagram post: Bundapiano Baddie ❤️😍🥵...,Link clicks,27.0,294.0,294.0,48.09,1.78111111
122,"Instagram post: Grateful 🙏 🦅

#Santeri #Bunda...",Link clicks,1.0,452.0,446.0,32.45,32.45
