campaign_row_id,campaign_name,result_type,results,reach,impressions,cost_per_result_ngn,amount_spent_ngn,data_quality_flag
1,Bunda Youtube – official,Link clicks,480589.0,1263819.0,2102655.0,0.61299961,294600.87,
2,Bunda Youtube,Link clicks,85175.0,355788.0,510614.0,1.1425039,97312.77,
3,[08/04/2023] Promoting Santeri,Facebook likes,2447.0,16538.0,25507.0,18.08478136,44253.46,
4,Instagram post: 🚀🎶 It's here! The official...,Link clicks,1481.0,724152.0,837404.0,24.14446995,35757.96,
5,[08/04/2023] Promoting Santeri – copy,Facebook likes,1530.0,8956.0,13997.0,18.95788889,29005.57,
6,Instagram post: Feel the emotions as I lay myself...,Link clicks,1548.0,554492.0,650797.0,16.36934109,25339.74,
7,"Instagram post: Feel the beats, feel the...",Link clicks,2214.0,371336.0,429034.0,10.88684282,24103.47,
8,Instagram Post,Link clicks,775.0,235699.0,269225.0,29.38352258,22772.23,
9,Instagram Post,Link clicks,1114.0,296584.0,368839.0,17.95332136,20000.0,
10,Instagram post: 🌍💃 Join the #BundaDanceChallenge...,Link clicks,154.0,25784.0,30574.0,114.66902597,17659.03,
11,Instagram post: 🎥 Exciting news! The official...,Link clicks,1074.0,317771.0,334104.0,14.64705773,15730.94,
12,Instagram post: Exciting News! 📢 : Mark your...,Link clicks,118.0,9178.0,12748.0,129.66101695,15300.0,
13,Instagram post: Dropping truth bombs in every...,Link clicks,249.0,28505.0,46399.0,61.40626506,15290.16,
14,DJ Khoded Valid Concert II,Link clicks,8213.0,40078.0,49077.0,1.57304152,12919.39,
15,Instagram post: **🎉 Nonstop Entertainment Awaits!...,Link clicks,70.0,4289.0,5140.0,156.9,10983.0,
16,Instagram post: “Life is 10% what happens to you...,Link clicks,156.0,49424.0,63041.0,64.1025641,10000.0,
17,"Post: ""Feel the beats, feel the 'Pressure.' Now...""",Link clicks,33414.0,96069.0,110215.0,0.29403843,9825.0,
18,Instagram post: 🔥 We're thrilled to bring you the...,Link clicks,279.0,167864.0,180174.0,32.92473118,9186.0,
19,[22/11/2023] Promoting https://api.whatsapp.com/send?phone=[REDACTED],Messaging conversations started,78.0,2020.0,2411.0,108.46961538,8460.63,
20,Instagram post: Feel the emotions as I lay myself...,Link clicks,539.0,247015.0,275838.0,15.69469388,8459.44,
21,"Instagram post: No better song out there,...",Link clicks,89.0,30493.0,37313.0,94.70247191,8428.52,
22,Instagram post: @afronitaaa X @dreamcatchersda 😍...,Link clicks,739.0,124783.0,137332.0,10.82543978,8000.0,
23,"Post: ""New single announcement: Save the Date! """,Post engagements,9041.0,45481.0,56092.0,0.88462891,7997.93,
24,Instagram post: #TGIF 🕺🏾💃🪩#BundaDanceChallenge...,Link clicks,63.0,3777.0,4416.0,122.69587302,7729.84,
25,Instagram post: @afronitaaa and @championrolie...,Link clicks,266.0,38804.0,43824.0,29.02229323,7719.93,
26,Instagram post: Sound on 🎧🎶 Our take on Johnny...,Link clicks,72.0,8043.0,9672.0,95.03555556,6842.56,
27,Instagram post: Bunda Baddie 🍑🔥💥 @ceebee__...,Link clicks,1500.0,19632.0,22505.0,3.99989333,5999.84,
28,"Post: ""🚀🎶 It's here! The official 'Bunda' music video...""",ThruPlay,17477.0,156320.0,168004.0,0.33832809,5912.96,
29,"Instagram post: ""Pressure"" is out now! 🚀 Dive...",Link clicks,319.0,161231.0,174328.0,18.03470219,5753.07,
